service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,events_and_status,operating_days,duty
14126,0,0,0,0,0,1,0,20190303,20190601,,a,
14127,0,0,0,0,1,0,0,20190303,20190601,,f,
14128,1,1,1,1,0,0,0,20190303,20190601,,muwt,
14129,1,1,1,1,1,0,0,20190303,20190601,,muwtf,
14130,1,0,1,1,1,0,0,20190303,20190601,,mwtf,
14131,0,0,0,0,0,0,1,20190303,20190601,,s,
14132,0,0,0,0,0,0,0,20190303,20190601,,smuwtfa,
14133,0,1,0,0,0,0,0,20190303,20190601,,u,
14134,0,0,0,0,0,0,0,20190303,20190601,PHoff,f,
14135,0,0,0,0,0,0,0,20190303,20190601,PHoff,muwt,
14136,0,0,0,0,0,0,0,20190303,20190601,PHoff,muwtf,
14137,0,0,0,0,1,0,0,20190303,20190601,PHon,f,
14138,1,1,1,1,0,0,0,20190303,20190601,PHon,muwt,
14139,1,1,1,1,1,0,0,20190303,20190601,PHon,muwtf,
14140,0,0,0,0,0,0,0,20190303,20190601,RAoff,muwtf,40-33
14141,0,0,0,0,0,0,0,20190303,20190601,RAoff,muwtf,415-01
14142,1,1,0,1,1,0,0,20190303,20190601,RAon,mutf,40-33
14143,1,1,1,1,1,0,0,20190303,20190601,RAon,muwtf,415-01
14144,0,0,1,0,0,0,0,20190303,20190601,RAon,w,40-33
14145,0,0,0,0,0,0,0,20190303,20190601,RCoff,muwtf,C-05
14146,0,0,0,0,1,0,0,20190303,20190601,RCon,f,C-05
14147,1,0,0,0,0,0,0,20190303,20190601,RCon,m,C-05
14148,0,1,0,1,0,0,0,20190303,20190601,RCon,ut,C-05
14149,0,0,1,0,0,0,0,20190303,20190601,RCon,w,C-05
14150,0,0,0,0,0,0,0,20190303,20190601,RDoff,muwtf,2-07
14151,1,0,0,0,0,0,0,20190303,20190601,RDon,m,2-07
14152,0,1,1,1,1,0,0,20190303,20190601,RDon,uwtf,2-07
14153,0,0,0,0,0,0,0,20190303,20190601,REoff,muwtf,13-15
14154,1,0,0,0,0,0,0,20190303,20190601,REon,m,13-15
14155,0,1,1,1,1,0,0,20190303,20190601,REon,uwtf,13-15
14156,0,0,0,0,0,0,0,20190303,20190601,RFoff,muwtf,51-03
14157,1,1,0,1,1,0,0,20190303,20190601,RFon,mutf,51-03
14158,0,0,1,0,0,0,0,20190303,20190601,RFon,w,51-03
14159,0,0,0,0,0,0,0,20190303,20190601,RGoff,muwtf,60-19
14160,1,0,0,0,1,0,0,20190303,20190601,RGon,mf,60-19
14161,0,0,0,1,0,0,0,20190303,20190601,RGon,t,60-19
14162,0,1,0,0,0,0,0,20190303,20190601,RGon,u,60-19
14163,0,0,1,0,0,0,0,20190303,20190601,RGon,w,60-19
14164,0,0,0,0,0,0,0,20190303,20190601,RIoff,muwtf,3-11
14165,1,1,1,1,1,0,0,20190303,20190601,RIon,muwtf,3-11
14166,0,0,0,0,0,0,0,20190303,20190601,RJoff,muwtf,70-01
14167,0,0,0,0,0,0,0,20190303,20190601,RJoff,muwtf,70-02
14168,0,0,0,0,0,0,0,20190303,20190601,RJoff,muwtf,56-08
14169,0,0,0,0,0,0,0,20190303,20190601,RJoff,muwtf,56-03
14170,1,1,1,1,1,0,0,20190303,20190601,RJon,muwtf,56-03
14171,1,1,1,1,1,0,0,20190303,20190601,RJon,muwtf,70-02
14172,1,1,1,1,1,0,0,20190303,20190601,RJon,muwtf,70-01
14173,1,1,1,1,1,0,0,20190303,20190601,RJon,muwtf,56-08
14174,0,0,0,0,0,0,0,20190303,20190601,RKoff,muwtf,1L-07
14175,1,1,1,1,1,0,0,20190303,20190601,RKon,muwtf,1L-07
14176,0,0,0,0,0,0,0,20190303,20190601,RLoff,muwtf,51-11
14177,1,1,1,1,1,0,0,20190303,20190601,RLon,muwtf,51-11
14178,0,0,0,0,0,0,0,20190303,20190601,RNoff,muwtf,23-02
14179,0,0,0,0,0,0,0,20190303,20190601,RNoff,muwtf,20-02
14180,1,1,0,1,1,0,0,20190303,20190601,RNon,mutf,20-02
14181,1,1,0,1,1,0,0,20190303,20190601,RNon,mutf,23-02
14182,0,0,1,0,0,0,0,20190303,20190601,RNon,w,20-02
14183,0,0,1,0,0,0,0,20190303,20190601,RNon,w,23-02
