stop_lat,stop_code,stop_serial_number,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
21.400074,2031,1107,-157.962606,2031,http://hea.thebus.org/nextbus.asp?s=2031,,,HOOLAULEA ST + OPP HOOHAKU ST,0,
21.279579,1200,203,-157.702356,1200,http://hea.thebus.org/nextbus.asp?s=1200,,,LUNALILO HOME RD + OPP ANAPALAU ST,0,
21.259391,4026,3142,-157.795659,4026,http://hea.thebus.org/nextbus.asp?s=4026,,,KAHALA AVE + OPP PAIKAU ST,0,
21.376745,1869,925,-157.916838,1869,http://hea.thebus.org/nextbus.asp?s=1869,,,HALAWA HEIGHTS RD + IWAIWA ST,0,
21.257627,4024,3140,-157.801195,4024,http://hea.thebus.org/nextbus.asp?s=4024,,,DIAMOND HEAD RD + 3701,0,
21.259027,4025,3141,-157.797558,4025,http://hea.thebus.org/nextbus.asp?s=4025,,,KAHALA AVE + KULAMANU ST,0,
21.255957,4022,3138,-157.809127,4022,http://hea.thebus.org/nextbus.asp?s=4022,,,DIAMOND HEAD RD + DIAMOND HEAD LIGHTHOUSE,0,
21.257147,4023,3139,-157.802467,4023,http://hea.thebus.org/nextbus.asp?s=4023,,,DIAMOND HEAD RD + 3647,0,
21.257343,4020,3136,-157.815604,4020,http://hea.thebus.org/nextbus.asp?s=4020,,,DIAMOND HEAD RD + 3165,0,
21.256293,4021,3137,-157.812544,4021,http://hea.thebus.org/nextbus.asp?s=4021,,,DIAMOND HEAD RD + BEACH RD,0,
21.260094,4028,3144,-157.792244,4028,http://hea.thebus.org/nextbus.asp?s=4028,,,KAHALA AVE + ROYAL PL,0,
21.260868,4029,3145,-157.78966,4029,http://hea.thebus.org/nextbus.asp?s=4029,,,KAHALA AVE + OPP ELEPAIO ST,0,
21.313323,592,3496,-157.864284,592,http://hea.thebus.org/nextbus.asp?s=592,,,N KING ST + RIVER ST,0,
21.401034,2030,1106,-157.9614,2030,http://hea.thebus.org/nextbus.asp?s=2030,,,HOOMAEMAE ST + HOOLAULEA ST,0,
21.399168,4607,4760,-157.803955,4607,http://hea.thebus.org/nextbus.asp?s=4607,,,ANOI RD + HUNAMOE LP,0,
21.331322,344,2607,-157.843256,344,http://hea.thebus.org/nextbus.asp?s=344,,,PALI HWY + 2627,0,
21.332885,345,2618,-157.841986,345,http://hea.thebus.org/nextbus.asp?s=345,,,PALI HWY + MOANAWAI PL,0,
21.334339,346,2621,-157.840884,346,http://hea.thebus.org/nextbus.asp?s=346,,,PALI HWY + LAIMI RD,0,
21.335434,347,2622,-157.84006,347,http://hea.thebus.org/nextbus.asp?s=347,,,PALI HWY + QUEEN EMMA SUMMER PALACE,0,
21.324676,340,2563,-157.848639,340,http://hea.thebus.org/nextbus.asp?s=340,,,NUUANU AVE + NUUANU CEMETARY,0,
21.326398,341,2574,-157.847336,341,http://hea.thebus.org/nextbus.asp?s=341,,,NUUANU AVE + OPP KAWANANAKOA PL,0,
21.327254,342,2585,-157.846562,342,http://hea.thebus.org/nextbus.asp?s=342,,,NUUANU AVE + OPP WYLLIE ST,0,
21.330538,343,2596,-157.843906,343,http://hea.thebus.org/nextbus.asp?s=343,,,PALI HWY + OPP JACK LN,0,
21.303482,3997,3108,-157.800557,3997,http://hea.thebus.org/nextbus.asp?s=3997,,,PETER ST + BERTRAM ST,0,
21.303451,3996,3107,-157.799878,3996,http://hea.thebus.org/nextbus.asp?s=3996,,,PETER ST + 2632,0,
21.303196,3995,3106,-157.798768,3995,http://hea.thebus.org/nextbus.asp?s=3995,,,PETER ST + QUINCY PL,0,
21.304476,3994,3105,-157.798272,3994,http://hea.thebus.org/nextbus.asp?s=3994,,,PETER ST + OPP RUTH PL,0,
21.337202,348,2623,-157.837822,348,http://hea.thebus.org/nextbus.asp?s=348,,,PALI HWY + PUIWA RD,0,
21.337854,349,2624,-157.83703,349,http://hea.thebus.org/nextbus.asp?s=349,,,PALI HWY + DOWSETT AVE (MAKAI),0,
21.32168,3991,3102,-157.887194,3991,http://hea.thebus.org/nextbus.asp?s=3991,,,AUIKI ST + OPP MOKAUEA ST,0,
21.322166,3990,3101,-157.889455,3990,http://hea.thebus.org/nextbus.asp?s=3990,,,AUIKI ST + OPP PUUHALE RD,0,
21.660563,2318,1380,-158.05494,2318,http://hea.thebus.org/nextbus.asp?s=2318,,,KAMEHAMEHA HWY + OPP KE WAENA RD,0,
21.663203,2319,1381,-158.052011,2319,http://hea.thebus.org/nextbus.asp?s=2319,,,KAMEHAMEHA HWY + OPP KE NUI RD,0,
21.65713,2316,1378,-158.058118,2316,http://hea.thebus.org/nextbus.asp?s=2316,,,KAMEHAMEHA HWY + KAHAE RD,0,
21.658921,2317,1379,-158.056765,2317,http://hea.thebus.org/nextbus.asp?s=2317,,,KAMEHAMEHA HWY + PUKEA RD,0,
21.652862,2314,1376,-158.060522,2314,http://hea.thebus.org/nextbus.asp?s=2314,,,KAMEHAMEHA HWY + KUMUPALI RD,0,
21.655612,2315,1377,-158.058971,2315,http://hea.thebus.org/nextbus.asp?s=2315,,,KAMEHAMEHA HWY + HAKUOLA RD,0,
21.64868,2312,1374,-158.062321,2312,http://hea.thebus.org/nextbus.asp?s=2312,,,KAMEHAMEHA HWY + PUPUKEA RD,0,
21.651007,2313,1375,-158.06153,2313,http://hea.thebus.org/nextbus.asp?s=2313,,,KAMEHAMEHA HWY + PUULA RD,0,
21.640144,2310,1372,-158.060014,2310,http://hea.thebus.org/nextbus.asp?s=2310,,,KAMEHAMEHA HWY + WAIMEA VALLEY RD,0,
