display_code,block_id,route_id,direction_id,trip_serial_number,trip_headsign_short,trip_headsign,shape_id,service_id,trip_id,block,apc_trip_id
609,b_155787,6,1,11048458,UH-WOODLAWN,WOODLAWN DRIVE via East-West Road,60168,15494,2370799,6-002,00040751
608,b_155788,6,1,11048431,UH-WOODLAWN,UNIVERSITY - Woodlawn Drive,60166,15494,2370798,6-003,00040762
407,b_155597,4,0,11048193,NUUANU-DOWSETT,NUUANU - Dowsett Avenue via UH Manoa,40173,15494,2370793,4-003,00040619
407,b_155597,4,0,11048183,NUUANU-DOWSETT,NUUANU - Dowsett Avenue via UH Manoa,40173,15494,2370792,4-003,00040615
314,b_155564,3,0,11048055,SALT LAKE,SALT LAKE,30221,15494,2370791,3-001,00040428
314,b_155574,3,0,11048052,SALT LAKE,SALT LAKE,30221,15494,2370790,3-011,00040568
503,b_155694,5,1,11048351,MANOA VALLEY,MANOA VALLEY,50020,15494,2370797,5-001,00040701
503,b_155694,5,1,11048340,MANOA VALLEY,MANOA VALLEY,50020,15494,2370796,5-001,00040703
412,b_155596,4,1,11048235,UH MANOA-MOILILI,UNIVERSITY - MOILIILI,40177,15494,2370795,4-002,00040590
912,a_148494,126,1,10846055,KAIMUKI-KCC,KAIMUKI - KCC,90366,14131,2236794,9-001,0
2503,a_148569,22,1,10854249,XPRSS-UH MANOA,CityExpress! UH MANOA,A0107,14131,2238149,A-003,0
2208,a_148104,21,0,10845222,WAIKIKI BEACH,TheBeachBus - WAIKIKI BEACH,220083,14131,2238148,22-001,0
5041,a_148250,115,0,10863256,KUAHELANI AVE,MILILANI via Kuahelani,5040016,14129,2233498,504-001,0
5042,a_148250,115,1,10863283,MILILANI TRN CTR,MILILANI TRANSIT CENTER,5040018,14129,2233499,504-001,0
5031,a_148249,114,0,10863384,LAUNANI VALLEY,LAUNANI VALLEY,5030023,14129,2233496,503-001,0
5041,a_148250,115,0,10863253,KUAHELANI AVE,MILILANI via Kuahelani,5040016,14129,2233497,504-001,0
5012,a_148248,113,0,10863275,MILILANI TRN CTR,MILILANI TRANSIT CENTER,5010012,14129,2233494,501-001,0
5031,a_148249,114,0,10863383,LAUNANI VALLEY,LAUNANI VALLEY,5030023,14129,2233495,503-001,0
5012,a_148250,113,0,10863238,MILILANI TRN CTR,MILILANI TRANSIT CENTER,5010012,14129,2233492,504-001,0
5012,a_148248,113,0,10863272,MILILANI TRN CTR,MILILANI TRANSIT CENTER,5010012,14129,2233493,501-001,0
6803,a_148617,109,0,10864114,EWA BEACH,CountryExpress! EWA BEACH,E0082,14129,2233490,E-010,0
6804,a_148617,109,1,10864123,WAIKIKI,CountryExpress! WAIKIKI,E0080,14129,2233491,E-010,0
2208,b_155548,21,0,11047797,WAIKIKI BEACH,TheBeachBus - WAIKIKI BEACH,220089,15494,2370425,22-004,00041817
