"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id"
"Antelope Valley Line","AVL-MTWTF-20181008","100000001-20181008","Newhall","Bus-2","1"
"Antelope Valley Line","AVL-MTWTF-20181008","100000002-20181008","Newhall","Bus-1","1"
"Antelope Valley Line","AVL-MTWTF-20181008","100000003-20181008","Newhall","Bus-3","1"
"Antelope Valley Line","AVL-MTWTF-20181008","100000004-20181008","Newhall","Bus-4","1"
"Antelope Valley Line","AVL-MTWTF-20181008","100000005-20181008","Palmdale","Bus-5","0"
"Antelope Valley Line","AVL-MTWTF-20181008","100000007-20181008","Palmdale","Bus-7","0"
"Antelope Valley Line","AVL-MTWTF-20181008","100000008-20181008","Palmdale","Bus-8","0"
"Antelope Valley Line","AVL-MTWTF-20181008","100000009-20181008","Palmdale","Bus-9","0"
"Antelope Valley Line","AVL-MTWTF-20181008","100000010-20181008","Newhall","Bus-10","1"
"Antelope Valley Line","AVL-MTWTF-20181008","200000023-20181008","L.A. Union Station","224","1"
"Antelope Valley Line","AVL-MTWTF-20181008","200000024-20181008","Lancaster","225","0"
"Antelope Valley Line","AVL-MTWTF-20181008","200000025-20181008","L.A. Union Station","226","1"
"Antelope Valley Line","AVL-MTWTF-20181008","200000026-20181008","Lancaster","227","0"
"San Bernardino Line","SBL-MTWTF-20181008","200000027-20181008","San Bernardino - Downtown","306","0"
"San Bernardino Line","SBL-MTWTF-20181008","200000028-20181008","L.A. Union Station","323","1"
"Inland Emp.-Orange Co. Line","IEOC-MTWTF-20181008","200000029-20181008","Riverside - Downtown","814","1"
"Inland Emp.-Orange Co. Line","IEOC-MTWTF-20181008","200000030-20181008","Oceanside","815","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000001-20181008","LAX","Bus-1","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000002-20181008","LAX","Bus-2","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000003-20181008","LAX","Bus-3","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000004-20181008","LAX","Bus-4","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000005-20181008","LAX","Bus-5","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000006-20181008","LAX","Bus-6","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000007-20181008","LAX","Bus-7","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000008-20181008","LAX","Bus-8","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000009-20181008","LAX","Bus-9","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000010-20181008","LAX","Bus-10","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000011-20181008","LAX","Bus-11","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000012-20181008","LAX","Bus-12","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000013-20181008","LAX","Bus-13","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000014-20181008","LAX","Bus-14","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000015-20181008","LAX","Bus-15","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000016-20181008","LAX","Bus-16","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000017-20181008","LAX","Bus-17","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000018-20181008","LAX","Bus-18","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000019-20181008","LAX","Bus-19","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000020-20181008","LAX","Bus-20","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000021-20181008","LAX","Bus-21","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000022-20181008","LAX","Bus-22","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000023-20181008","LAX","Bus-23","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000024-20181008","LAX","Bus-24","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000025-20181008","LAX","Bus-25","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000026-20181008","LAX","Bus-26","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000027-20181008","LAX","Bus-27","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000028-20181008","LAX","Bus-28","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000029-20181008","LAX","Bus-29","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000030-20181008","LAX","Bus-30","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000031-20181008","LAX","Bus-31","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000032-20181008","LAX","Bus-32","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000033-20181008","LAX","Bus-33","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000034-20181008","LAX","Bus-34","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000035-20181008","LAX","Bus-35","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000036-20181008","LAX","Bus-36","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000037-20181008","LAX","Bus-37","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000038-20181008","LAX","Bus-38","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000039-20181008","LAX","Bus-39","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000040-20181008","LAX","Bus-40","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000041-20181008","LAX","Bus-41","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000042-20181008","LAX","Bus-42","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000043-20181008","LAX","Bus-43","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000044-20181008","LAX","Bus-44","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000045-20181008","LAX","Bus-45","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000046-20181008","LAX","Bus-46","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000047-20181008","LAX","Bus-47","0"
"LAX FlyAway Bus","LAXFA-MTWTF-20181008","210000048-20181008","LAX","Bus-48","0"
"LAX FlyAway Bus","LAXFA-SaSu-20181008","210000049-20181008","LAX","Bus-49","0"
"LAX FlyAway Bus","LAXFA-SaSu-20181008","210000050-20181008","LAX","Bus-50","0"
"LAX FlyAway Bus","LAXFA-SaSu-20181008","210000051-20181008","LAX","Bus-51","0"
"LAX FlyAway Bus","LAXFA-SaSu-20181008","210000052-20181008","LAX","Bus-52","0"
"LAX FlyAway Bus","LAXFA-SaSu-20181008","210000053-20181008","LAX","Bus-53","0"
"LAX FlyAway Bus","LAXFA-SaSu-20181008","210000054-20181008","LAX","Bus-54","0"
"LAX FlyAway Bus","LAXFA-SaSu-20181008","210000055-20181008","LAX","Bus-55","0"
"LAX FlyAway Bus","LAXFA-SaSu-20181008","210000056-20181008","LAX","Bus-56","0"
"LAX FlyAway Bus","LAXFA-SaSu-20181008","210000057-20181008","LAX","Bus-57","0"
"LAX FlyAway Bus","LAXFA-SaSu-20181008","210000058-20181008","LAX","Bus-58","0"
"LAX FlyAway Bus","LAXFA-SaSu-20181008","210000059-20181008","LAX","Bus-59","0"
"LAX FlyAway Bus","LAXFA-SaSu-20181008","210000060-20181008","LAX","Bus-60","0"
"LAX FlyAway Bus","LAXFA-SaSu-20181008","210000061-20181008","LAX","Bus-61","0"
"LAX FlyAway Bus","LAXFA-SaSu-20181008","210000062-20181008","LAX","Bus-62","0"
"LAX FlyAway Bus","LAXFA-SaSu-20181008","210000063-20181008","LAX","Bus-63","0"
